,avg_rss12_mean,avg_rss12_std,avg_rss12_min,avg_rss12_q1,avg_rss12_median,avg_rss12_q3,avg_rss12_max,var_rss12_mean,var_rss12_std,var_rss12_min,var_rss12_q1,var_rss12_median,var_rss12_q3,var_rss12_max,avg_rss13_mean,avg_rss13_std,avg_rss13_min,avg_rss13_q1,avg_rss13_median,avg_rss13_q3,avg_rss13_max,var_rss13_mean,var_rss13_std,var_rss13_min,var_rss13_q1,var_rss13_median,var_rss13_q3,var_rss13_max,avg_rss23_mean,avg_rss23_std,avg_rss23_min,avg_rss23_q1,avg_rss23_median,avg_rss23_q3,avg_rss23_max,var_rss23_mean,var_rss23_std,var_rss23_min,var_rss23_q1,var_rss23_median,var_rss23_q3,var_rss23_max
b1_1,40.62479166666665,1.4769669162668118,37.25,39.25,40.5,42.0,45.0,0.35860416666666745,0.3226047588966564,0.0,0.0,0.43,0.5,1.3,19.0409375,4.46295198891673,4.0,16.0,19.25,23.25,29.5,0.8325416666666676,0.9656588815438516,0.0,0.0,0.5,1.12,7.23,34.31129166666666,2.1884486069244624,27.25,33.0,35.0,36.0,38.25,0.5705833333333344,0.5829154940538757,0.0,0.0,0.43,1.3,1.92
b1_2,42.812812499999986,1.4355499139997019,38.0,42.0,42.5,43.67,45.67,0.3724375000000009,0.2891584800170346,0.0,0.0,0.47,0.5,1.22,20.096979166666664,3.893736718925447,2.0,19.0,21.0,22.25,29.5,0.8764375000000018,1.0472586822993426,0.0,0.0,0.5,1.145,5.76,33.02458333333333,1.9952545563428268,27.67,32.0,33.0,34.5,38.5,0.5710833333333343,0.6010096527048443,0.0,0.0,0.43,1.3,3.11
b1_3,43.95449999999998,1.558835066353028,35.0,43.0,44.33,45.0,47.4,0.4262500000000008,0.33869037350107334,0.0,0.0,0.47,0.5,1.7,22.122354166666664,3.0309428037022657,6.5,19.75,23.0,24.0,29.75,0.49731250000000127,0.5506572901546093,0.0,0.0,0.43,0.83,4.44,35.58845833333335,1.9996040626699223,29.0,35.3625,36.0,36.5,38.5,0.4932916666666676,0.5135061012349963,0.0,0.0,0.43,0.94,1.79
b1_4,42.17981250000002,3.670665660998427,33.0,39.150000000000006,43.5,45.0,47.75,0.6960416666666683,0.630860298658193,0.0,0.0,0.5,1.12,3.0,22.183625,3.81046934147179,8.5,20.5,23.0,24.3725,30.0,0.9899166666666691,0.9537303933435255,0.0,0.43,0.83,1.3,5.15,33.493916666666664,3.8494478189457717,20.0,30.4575,35.0,36.33,38.67,0.6135208333333356,0.5243171317817953,0.0,0.0,0.5,1.0,2.18
b1_5,41.6780625,2.2434900014223933,33.0,41.33,41.75,42.75,45.75,0.5359791666666676,0.40546872227401004,0.0,0.43,0.5,0.71,2.83,19.006562499999998,4.087106879865339,3.0,16.5,19.125,22.0625,28.25,0.8418750000000013,0.9288007313404859,0.0,0.43,0.5,1.12,6.42,29.857083333333332,2.4110263914491896,23.67,28.4575,30.0,31.25,37.5,0.38329166666666775,0.38916429696825316,0.0,0.0,0.43,0.5,1.79
b1_6,43.45495833333334,1.3860978398519737,37.0,42.5,43.25,45.0,48.0,0.37808333333333416,0.31556635194105126,0.0,0.0,0.47,0.5,1.58,15.793333333333333,3.8476376361687574,5.75,13.0,15.0,18.27,27.0,0.8493541666666686,0.9957614765321261,0.0,0.43,0.5,1.12,10.03,23.034791666666667,2.4888622796595348,8.0,22.25,23.5,24.0,33.5,0.6796458333333354,0.6225337810449345,0.0,0.43,0.5,0.87,5.26
b1_7,43.96912499999999,1.618363585278194,36.25,43.31,44.5,44.67,48.0,0.41312500000000085,0.2631109551862858,0.0,0.43,0.47,0.5,1.5,15.868020833333334,3.7424202086823684,1.5,14.25,16.25,18.0,26.33,0.6663541666666685,0.7889846012606584,0.0,0.0,0.47,0.94,5.17,22.10375,3.318301138020592,11.33,20.5,21.67,23.75,30.75,0.5553125000000018,0.48782623177856416,0.0,0.0,0.49,0.83,2.96
b2_1,24.56295833333333,3.737514105563106,12.75,23.1875,24.25,26.5,51.0,0.5908333333333353,0.8374081031645524,0.0,0.0,0.43,0.71,6.87,19.121333333333336,4.299612437422581,0.0,18.0,20.25,22.0,25.33,0.7367708333333347,0.9270476346406529,0.0,0.0,0.47,0.87,6.76,23.493041666666663,3.6937857760608344,10.67,20.5,23.75,27.0,30.0,0.7001875000000012,0.6937199400096663,0.0,0.43,0.5,0.87,4.97
b2_2,27.464604166666664,3.5835822937296276,0.0,25.5,28.0,30.0,42.75,0.44970833333333354,0.7671966690159701,0.0,0.0,0.43,0.5,7.76,20.842541666666666,3.826268261410999,7.5,18.0,20.75,22.5,35.0,0.7799166666666679,0.9044358287940623,0.0,0.0,0.5,0.94,5.76,17.617937499999996,5.053641911758886,0.0,15.0,18.0,20.75,33.0,1.1221250000000016,1.0123418276410636,0.0,0.47,0.83,1.3,6.76
b2_3,32.58620833333333,6.238143308694096,21.0,26.1875,33.0,34.5,50.0,0.5161250000000009,0.7899570460825918,0.0,0.0,0.43,0.8225,9.9,13.941624999999997,5.883266339678228,0.0,10.0,14.25,18.0,28.25,0.8688958333333346,1.0270127290851134,0.0,0.43,0.5,1.12,7.4,20.34570833333333,5.032424252830164,5.0,17.67,19.585,23.5,33.75,1.1620416666666686,1.3329799281555914,0.0,0.47,0.83,1.3,13.61
b2_4,32.5,0.0,32.5,32.5,32.5,32.5,32.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,19.0,19.0,19.0,19.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
b2_5,30.93810416666667,7.684145836290816,19.0,26.75,29.0,38.0,45.5,0.4671666666666672,0.7344444546214146,0.0,0.0,0.43,0.5,6.4,14.589833333333333,7.638935151155752,0.0,9.6875,15.75,20.69,32.75,0.777541666666668,1.0141019239937068,0.0,0.0,0.47,1.12,11.42,18.38908333333333,5.845911226863868,1.67,15.0,17.5,20.8125,36.0,1.1073541666666684,1.0808418390239565,0.0,0.47,0.83,1.3,6.73
b2_6,31.058249999999997,4.829794432361753,25.0,27.5,29.71,31.8125,47.5,0.4054583333333343,0.5666679136463396,0.0,0.0,0.43,0.5,6.38,15.296666666666665,4.841974887092799,2.0,13.0,15.0,17.75,28.33,0.8235416666666676,0.9022479224139838,0.0,0.0,0.5,1.12,5.32,14.4071875,7.853426748722305,0.0,9.0,13.0,18.3125,40.33,1.0981041666666689,0.8314802741671968,0.0,0.5,0.94,1.3,4.92
cy_1,37.17704166666666,3.5813010660968514,24.25,34.5,36.25,40.25,45.0,2.3742083333333324,1.6017992878617135,0.0,1.3,1.92,3.13,8.58,16.531083333333335,3.430906450846584,5.5,14.25,16.67,19.0,26.75,2.910604166666665,1.6001370797174124,0.0,1.64,2.62,3.9175,8.05,19.607250000000004,2.890347253230807,7.0,17.95,20.0,21.75,25.5,2.921729166666664,1.852599969997402,0.0,1.5,2.5,3.9,9.34
cy_2,37.561187500000024,3.226506938027219,28.75,35.25,36.875,40.25,44.75,2.0806875000000002,1.6392576054816508,0.0,1.12,1.7,2.87,9.91,16.567041666666665,3.691401225080162,6.5,14.0,17.0,19.5,24.67,3.033874999999999,1.6254145400269762,0.0,1.79,2.95,4.03,8.32,19.518895833333332,2.7273769066259974,10.5,18.0,20.0,21.5,24.33,2.765895833333333,1.7692025584075215,0.0,1.41,2.45,3.77,9.62
cy_3,37.058708333333335,3.710179699311478,22.0,34.5,36.0,40.0625,44.67,2.4381458333333326,1.9968872696855713,0.0,1.25,1.92,3.35,14.17,16.388312499999998,3.5379503322540944,6.33,13.75,16.5,19.0,24.0,2.9806875000000006,1.6120585998281054,0.0,1.79,2.86,4.0,9.74,18.125958333333333,3.5371438412345984,7.5,16.0,18.875,21.0,24.25,2.983749999999999,1.8157297226975344,0.0,1.5,2.57,4.15,8.55
