,avg_rss12_1_mean,avg_rss12_1_std,avg_rss12_1_max,var_rss12_1_mean,var_rss12_1_std,var_rss12_1_max,var_rss23_1_mean,var_rss23_1_std,var_rss23_1_max,avg_rss12_2_mean,avg_rss12_2_std,avg_rss12_2_max,var_rss12_2_mean,var_rss12_2_std,var_rss12_2_max,var_rss23_2_mean,var_rss23_2_std,var_rss23_2_max
b1_3,44.05716666666667,1.5569714639228338,46.5,0.3810416666666667,0.32954031367999087,1.5,0.59825,0.5266562438281538,1.79,43.85183333333334,1.5571677880765307,47.4,0.47145833333333304,0.34234601390362973,1.7,0.3883333333333335,0.4785277864438846,1.5
b1_4,43.27887499999999,3.4733548805972956,47.75,0.6732916666666671,0.6342850869115418,3.0,0.6409583333333337,0.5545418387969393,1.53,41.08075,3.5374806444167874,46.0,0.7187916666666674,0.6279152915158109,2.86,0.5860833333333336,0.4918725144103473,2.18
b1_5,41.62120833333333,3.1186442644947245,45.75,0.6230833333333335,0.4895951633634088,2.83,0.41908333333333375,0.4111998889530915,1.79,41.73491666666667,0.5959198730689796,43.67,0.44887499999999997,0.2730503061072664,1.12,0.3475000000000003,0.3631435277646042,1.5
b1_6,44.117041666666665,1.3598363173456234,48.0,0.2500416666666665,0.3140989609222555,1.3,0.8154166666666679,0.718015507616045,5.26,42.792875,1.0587924681380068,46.5,0.5061249999999997,0.26076084564068835,1.58,0.5438750000000003,0.4734450269193294,4.06
b1_7,43.48620833333334,1.2819758703453965,45.0,0.37866666666666676,0.28443420556304694,1.3,0.5248750000000001,0.4868470683814705,2.28,44.452041666666666,1.771250769078041,48.0,0.4475833333333338,0.2354928805552085,1.5,0.5857500000000001,0.48791789298291505,2.96
b2_3,32.014375,8.743463956055223,50.0,0.5878750000000001,0.9361235306541288,9.9,1.538041666666669,1.63912158787766,13.61,33.15804166666667,0.9417009883156662,36.0,0.4443749999999996,0.6033314286207105,1.87,0.786041666666668,0.7684079601589935,6.02
b2_4,32.5,0.0,32.5,0.5,0.0,0.5,1.0,0.0,1.0,32.5,0.0,32.5,0.5,0.0,0.5,1.0,0.0,1.0
b2_5,29.189875000000008,6.216895287327778,39.25,0.49704166666666644,0.7310037793700372,4.33,1.099791666666668,1.1611610290976524,6.73,32.68633333333334,8.576204057684938,45.5,0.4372916666666668,0.7381837361945535,6.4,1.1149166666666679,0.9964518608633993,5.61
b2_6,34.110625,5.097232248503906,47.5,0.5285000000000001,0.7129057165358245,6.38,0.9962500000000004,0.8137788937212049,4.71,28.005875000000003,1.4344690039250594,33.0,0.28241666666666665,0.32392725004140466,2.18,1.1999583333333352,0.8381766911699714,4.92
cy_4,36.18320833333333,3.3248734393023107,44.0,2.753583333333333,1.6243486217279048,9.65,3.486041666666665,1.797079848398569,9.98,36.273583333333335,3.727665044982873,44.0,2.909791666666669,2.1173867702095177,12.28,3.4753333333333347,1.8616937594874086,8.61
cy_5,36.517541666666666,3.305617793102,43.33,2.8746249999999987,1.9439085914529741,10.85,3.1385833333333344,1.5919577147058397,7.89,36.85704166666666,3.739054318261417,44.33,3.07145833333333,2.1958839296661936,12.89,3.008041666666669,1.667305319233801,8.19
cy_6,37.06991666666667,3.8222533816491793,44.67,2.79225,1.896667397719806,10.5,2.908666666666668,1.719805590518047,8.32,37.15870833333334,3.602489550380365,45.0,2.6677500000000034,1.953646076348476,10.84,3.244041666666668,1.9124784895919817,9.5
cy_7,36.83079166666666,3.6631319050650037,44.5,2.8385000000000025,2.2132811931987684,11.68,2.9700833333333345,1.6861577703463284,8.81,36.89595833333333,3.4524595438646792,44.75,2.676125000000002,2.0153003620213,10.5,2.576541666666667,1.4208142364471623,8.44
cy_8,36.86541666666666,3.462792641793004,43.4,2.38725,1.6252960914667944,7.46,2.9647916666666694,1.6554990014685356,8.26,37.049499999999995,3.411448568997067,44.25,2.4529166666666673,1.8218852692881335,8.64,2.904458333333335,1.6097928991559582,8.34
cy_9,37.14458333333334,3.8047845667949547,44.0,2.3857083333333344,1.6685173429663942,10.76,2.9147083333333343,1.681203468607872,8.75,37.14508333333333,3.720409950829544,44.67,2.4524166666666676,1.6202339806405468,7.79,2.7301666666666677,1.590095906864268,7.93
cy_10,36.77616666666667,3.674275992971187,44.0,2.743208333333337,1.8617452890417576,10.47,2.6158333333333332,1.57745204402083,8.38,36.862875,4.121497633848151,45.0,2.457083333333335,1.7724853816528203,9.49,3.159291666666667,1.8204075358509657,8.99
cy_11,36.644958333333335,4.054481790857975,44.33,2.826458333333333,1.9253319983046961,9.12,3.2444166666666656,1.6573348044720364,8.93,36.438375,3.988835080335756,44.0,2.869458333333334,1.862655266711501,10.43,3.2065000000000015,1.8787522121016873,9.18
cy_12,35.692166666666665,4.6435946225021745,44.25,3.324208333333332,2.16222983615651,11.39,3.1724166666666678,1.78149225015939,9.39,35.81254166666667,4.594741468400213,44.0,3.331999999999999,2.12321344047355,12.6,2.966916666666669,1.7120619567218105,8.81
cy_13,35.69416666666667,4.778355415223742,43.75,3.6580416666666693,2.3495249939086404,11.2,3.2495416666666674,1.6766816320720386,8.5,36.06558333333333,4.447623557230764,43.33,3.1705833333333344,2.097205870115222,10.54,2.936500000000001,1.5615929802555029,7.89
cy_14,36.34275,3.648494952498912,42.67,2.691916666666668,2.017423393301023,9.71,3.547750000000001,1.9528455635249498,9.57,36.14541666666666,3.9932020468752607,43.5,2.7801250000000035,2.167336927359141,9.63,3.5132500000000007,1.9783961478914256,11.15
cy_15,36.954208333333334,3.7728359917773746,45.0,2.3926666666666687,1.5233288989739195,8.18,3.0053750000000012,1.8137279464703437,9.07,37.399874999999994,3.3721035587727517,44.67,2.355750000000002,1.6795958183356818,8.58,2.838083333333334,1.8907545574118756,9.34
ly_4,45.176458333333336,3.5717868725179795,51.0,0.3114583333333331,0.5776557356109614,4.85,0.7244583333333331,0.7418435973591853,4.97,40.23566666666667,0.25571863896713204,41.0,0.728166666666667,0.22087685026878273,1.0,0.3741666666666664,0.48028161775883477,2.83
