,avg_rss12_mean,avg_rss12_std,avg_rss12_max,var_rss12_mean,var_rss12_std,var_rss12_max,avg_rss13_mean,avg_rss13_std,avg_rss13_max,var_rss13_mean,var_rss13_std,var_rss13_max,avg_rss23_mean,avg_rss23_std,avg_rss23_max,var_rss23_mean,var_rss23_std,var_rss23_max,Class
b1_3,43.9545,1.558835066,47.4,0.42625,0.338690374,1.7,22.12235417,3.030942804,29.75,0.4973125,0.55065729,4.44,35.58845833,1.999604063,38.5,0.493291667,0.513506101,1.79,1
b1_4,42.1798125,3.670665661,47.75,0.696041667,0.630860299,3,22.183625,3.810469341,30,0.989916667,0.953730393,5.15,33.49391667,3.849447819,38.67,0.613520833,0.524317132,2.18,1
b1_5,41.6780625,2.243490001,45.75,0.535979167,0.405468722,2.83,19.0065625,4.08710688,28.25,0.841875,0.928800731,6.42,29.85708333,2.411026391,37.5,0.383291667,0.389164297,1.79,1
b1_6,43.45495833,1.38609784,48,0.378083333,0.315566352,1.58,15.79333333,3.847637636,27,0.849354167,0.995761477,10.03,23.03479167,2.48886228,33.5,0.679645833,0.622533781,5.26,1
b1_7,43.969125,1.618363585,48,0.413125,0.263110955,1.5,15.86802083,3.742420209,26.33,0.666354167,0.788984601,5.17,22.10375,3.318301138,30.75,0.5553125,0.487826232,2.96,1
b2_3,32.58620833,6.238143309,50,0.516125,0.789957046,9.9,13.941625,5.88326634,28.25,0.868895833,1.027012729,7.4,20.34570833,5.032424253,33.75,1.162041667,1.332979928,13.61,1
b2_4,32.5,0,32.5,0.5,0,0.5,0,0,0,0,0,0,19,0,19,1,0,1,1
b2_5,30.93810417,7.684145836,45.5,0.467166667,0.734444455,6.4,14.58983333,7.638935151,32.75,0.777541667,1.014101924,11.42,18.38908333,5.845911227,36,1.107354167,1.080841839,6.73,1
b2_6,31.05825,4.829794432,47.5,0.405458333,0.566667914,6.38,15.29666667,4.841974887,28.33,0.823541667,0.902247922,5.32,14.4071875,7.853426749,40.33,1.098104167,0.831480274,4.92,1
cy_4,36.22839583,3.52861688,44,2.8316875,1.886689301,12.28,15.4245,3.249834324,25.25,3.119125,1.683513222,9.5,15.872375,3.166654515,24.5,3.4806875,1.827769025,9.98,0
cy_5,36.68729167,3.529404156,44.33,2.973041667,2.073902537,12.89,18.39679167,3.771097883,28.25,2.976604167,1.861730156,9.63,16.48,2.978237699,24.67,3.0733125,1.629674861,8.19,0
cy_6,37.1143125,3.710384618,45,2.73,1.924365904,10.84,16.66391667,3.612220686,27.25,3.138541667,1.84768036,10.57,16.48754167,2.847876072,23.33,3.076354167,1.824534213,9.5,0
cy_7,36.863375,3.555786995,44.75,2.7573125,2.115957678,11.68,16.49475,3.58818252,27,3.013604167,1.774530703,9.01,16.58114583,2.655905568,23,2.7733125,1.56991884,8.81,0
cy_8,36.95745833,3.434862679,44.25,2.420083333,1.724901375,8.64,15.31341667,3.034030095,26.5,2.784145833,1.542971572,8.06,15.98916667,2.851673159,22.25,2.934625,1.631380125,8.34,0
