,avg_rss12_mean,avg_rss12_std,avg_rss12_max,var_rss12_mean,var_rss12_std,var_rss12_max,var_rss23_mean,var_rss23_std,var_rss23_max,Output
b1_3,43.9545,1.558835066,47.4,0.42625,0.338690374,1.7,0.493291667,0.513506101,1.79,1
b1_4,42.1798125,3.670665661,47.75,0.696041667,0.630860299,3,0.613520833,0.524317132,2.18,1
b1_5,41.6780625,2.243490001,45.75,0.535979167,0.405468722,2.83,0.383291667,0.389164297,1.79,1
b1_6,43.45495833,1.38609784,48,0.378083333,0.315566352,1.58,0.679645833,0.622533781,5.26,1
b1_7,43.969125,1.618363585,48,0.413125,0.263110955,1.5,0.5553125,0.487826232,2.96,1
b2_3,32.58620833,6.238143309,50,0.516125,0.789957046,9.9,1.162041667,1.332979928,13.61,1
b2_4,32.5,0,32.5,0.5,0,0.5,1,0,1,1
b2_5,30.93810417,7.684145836,45.5,0.467166667,0.734444455,6.4,1.107354167,1.080841839,6.73,1
b2_6,31.05825,4.829794432,47.5,0.405458333,0.566667914,6.38,1.098104167,0.831480274,4.92,1
cy_4,36.22839583,3.52861688,44,2.8316875,1.886689301,12.28,3.4806875,1.827769025,9.98,0
cy_5,36.68729167,3.529404156,44.33,2.973041667,2.073902537,12.89,3.0733125,1.629674861,8.19,0
cy_6,37.1143125,3.710384618,45,2.73,1.924365904,10.84,3.076354167,1.824534213,9.5,0
cy_7,36.863375,3.555786995,44.75,2.7573125,2.115957678,11.68,2.7733125,1.56991884,8.81,0
cy_8,36.95745833,3.434862679,44.25,2.420083333,1.724901375,8.64,2.934625,1.631380125,8.34,0
cy_9,37.14483333,3.758903914,44.67,2.4190625,1.643174583,10.76,2.8224375,1.637182676,8.75,0
cy_10,36.81952083,3.900459367,45,2.600145833,1.821403878,10.47,2.8875625,1.723094178,8.99,0
cy_11,36.54166667,4.018922431,44.33,2.847958333,1.89239694,10.43,3.225458333,1.769757835,9.18,0
cy_12,35.75235417,4.614801692,44.25,3.328104167,2.140576072,12.6,3.069666667,1.748325621,9.39,0
cy_13,35.879875,4.614877591,43.75,3.4143125,2.237955455,11.2,3.093020833,1.626034098,8.5,0
cy_14,36.24408333,3.822015775,43.5,2.736020833,2.092001619,9.71,3.5305,1.963685385,11.15,0
cy_15,37.17704167,3.581301066,45,2.374208333,1.601799288,8.58,2.921729167,1.85259997,9.34,0
ly_4,42.7060625,3.537476206,51,0.5198125,0.484085956,4.85,0.5493125,0.648402683,4.97,0
ly_5,39.66783333,0.280157824,41,0.583604167,0.194584643,1,0.6359375,0.608399416,3.49,0
ly_6,39.5061875,1.817498409,40.67,0.496479167,0.145545908,1,0.622916667,0.498888779,3.19,0
ly_7,39.43379167,0.208557523,40,0.422104167,0.160379084,1,0.582708333,0.43844163,4.06,0
ly_8,39.34710417,0.231405232,40,0.366395833,0.195814581,0.5,0.588458333,0.423434755,3.5,0
ly_9,47.325125,5.961280283,56.25,0.2743125,0.562728911,8.49,0.766166667,0.723953058,5.72,0
ly_10,27.716375,1.442253436,30,0.3636875,0.394817082,1.79,0.735395833,0.612833736,4.5,0
ly_11,48.00416667,0.032038164,48.25,0.007166667,0.055105643,0.43,0.641229167,0.388372158,2.5,0
ly_12,39.66783333,0.280157824,41,0.583604167,0.194584643,1,0.6359375,0.608399416,3.49,0
ly_13,39.43379167,0.208557523,40,0.422104167,0.160379084,1,0.582708333,0.43844163,4.06,0
ly_14,47.325125,5.961280283,56.25,0.2743125,0.562728911,8.49,0.766166667,0.723953058,5.72,0
ly_15,27.716375,1.442253436,30,0.3636875,0.394817082,1.79,0.734270833,0.613688232,4.5,0
sit_4,44.75395833,0.520308803,46,0.153916667,0.258815499,1.12,0.764083333,0.652090899,4.3,0
sit_5,36.5600625,5.915081411,45.75,0.422166667,0.772992108,12.19,0.854833333,0.717602693,6.26,0
sit_6,32.90597917,3.505775712,38.67,0.45675,0.538783386,2.49,0.791354167,0.755738823,5.12,0
sit_7,38.888375,3.64290122,50.75,0.3834375,0.488937385,6.06,0.840208333,0.750636166,5.17,0
sit_8,42.8219833,0.89181801,45,0.335678497,0.26035683,1.12,0.856012526,0.764800524,6.36,0
sit_9,43.19085417,1.230345056,46.5,0.266270833,0.271587865,1.5,0.806229167,0.645476107,5.45,0
sit_10,40.21927083,2.741217231,48.5,0.617479167,0.485416658,3.28,1.057729167,1.025925342,6.36,0
sit_11,43.88483333,3.198893855,48.25,0.517354167,0.394064363,3.28,1.354916667,1.150883111,7,0
sit_12,42.11158333,1.122244616,45,0.3419375,0.295804688,1.09,0.961166667,0.882784486,6.36,0
sit_13,42.28266667,1.356148903,44.75,0.498354167,0.147984368,1,0.869,0.794212521,7.85,0
sit_14,42.3601875,1.01737154,44.67,0.4825,0.246388528,1,0.7198125,0.608546444,4.64,0
